CHEMBL108697,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O
CHEMBL439811,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
CHEMBL145003,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O
CHEMBL111310,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
CHEMBL109085,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1
CHEMBL342327,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O
CHEMBL342724,Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O
CHEMBL142916,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O
CHEMBL145452,COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1
CHEMBL18978,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O
CHEMBL145292,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12
CHEMBL146222,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2
CHEMBL142799,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2
CHEMBL348922,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O
CHEMBL111309,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O
CHEMBL145374,O=c1cc(-c2ccccc2)c2ccc(OCc3ccccc3)cc2o1
CHEMBL145503,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12
CHEMBL108660,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12
CHEMBL143316,O=c1ccc2ccc(CNc3ccccc3)cc2o1
CHEMBL434695,O=c1ccc2ccc(COc3ccccc3)cc2o1
CHEMBL239507,CNCc1cc(=O)oc2cc(OCc3cccc(Cl)c3)ccc12
CHEMBL258420,C#CCN(C)Cc1ccnc2c(O)cccc12
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O
CHEMBL26138,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL498683,CC1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL498507,CC1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL498506,Cc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1
CHEMBL498505,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL496280,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL497674,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL508324,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL456150,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL453703,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL498694,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL497676,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL497675,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL524447,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL483450,CN1C(=O)C2C(N=C(/C=C/c3cccc(Br)c3)N2C)N(C)C1=O
CHEMBL522271,CN1C(=O)C2C(N=C(/C=C/c3ccc(Cl)c(Cl)c3)N2C)N(C)C1=O
CHEMBL508698,O=C(Nc1cccc(F)c1)c1cc2ccccc2oc1=O
CHEMBL509345,O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2oc1=O
CHEMBL470221,O=C(Nc1ccc(F)cc1)c1cc2ccccc2oc1=O
CHEMBL470226,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL139679,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O
CHEMBL406861,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
