CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL31547,CCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL119,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL334919,CC(C)Oc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL344592,Nc1ncc(Cc2cccc(OC3CCCCO3)c2)c(N)n1
CHEMBL344592,Nc1ncc(Cc2cccc(OC3CCCCO3)c2)c(N)n1
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL31235,CCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL31235,CCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL349149,COc1ccc(OC)c(CCc2cccc3nc(N)nc(N)c23)c1
CHEMBL349149,COc1ccc(OC)c(CCc2cccc3nc(N)nc(N)c23)c1
CHEMBL343271,CCOc1ccc(Cc2cnc(N)nc2N)cc1
CHEMBL343271,CCOc1ccc(Cc2cnc(N)nc2N)cc1
CHEMBL343271,CCOc1ccc(Cc2cnc(N)nc2N)cc1
CHEMBL307820,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(C(=O)O)C(O)CC(=O)O)cc1
CHEMBL307486,C=C(CC(NC(=O)c1ccc(CCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O)C(=O)O
CHEMBL341703,Nc1nc(N)c2c(CCc3ccccc3)cccc2n1
CHEMBL341703,Nc1nc(N)c2c(CCc3ccccc3)cccc2n1
CHEMBL350730,COc1ccc(OC)c(NCc2cccc3nc(N)nc(N)c23)c1
CHEMBL350730,COc1ccc(OC)c(NCc2cccc3nc(N)nc(N)c23)c1
CHEMBL31946,CCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL31946,CCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL31946,CCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL164845,Nc1nc(N)c2c(/C=C/c3ccccc3)cccc2n1
CHEMBL164845,Nc1nc(N)c2c(/C=C/c3ccccc3)cccc2n1
CHEMBL137448,CCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL137448,CCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL162270,COc1cc(N(C)Cc2cccc3nc(N)nc(N)c23)cc(OC)c1OC
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1
CHEMBL138230,CCCCCCCOc1cccc(Cc2c(C)nc(N)nc2N)c1
CHEMBL135935,CCCCCCCOc1cccc(Cc2c(N)nc(N)nc2CC)c1
CHEMBL135935,CCCCCCCOc1cccc(Cc2c(N)nc(N)nc2CC)c1
CHEMBL355151,Nc1nc(N)c2c(C#Cc3ccccc3)cccc2n1
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL7492,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL18967,COc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL18967,COc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL296373,CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL162476,Nc1nc(N)c2c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cccc2n1
CHEMBL162476,Nc1nc(N)c2c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cccc2n1
CHEMBL165955,COc1cc(NCc2cccc3nc(N)nc(N)c23)cc(OC)c1OC
CHEMBL137305,CCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL137305,CCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL137305,CCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL285209,CCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL285209,CCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL137641,CCCCCCCCCOc1cccc(Cc2cnc(N)nc2N)c1
CHEMBL293263,Nc1nc(N)c2nc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL376180,Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
CHEMBL58908,CCOc1cc(Cc2cnc(N)nc2N)cc2c1OCO2
