CHEMBL130628,3BQD,-6.8
CHEMBL130098,2ITY,-6.6
CHEMBL130098,1H00,-7.2
CHEMBL130098,1HSG,-6.1
CHEMBL130098,4EY7,-9.5
CHEMBL130098,3ERT,-6.6
CHEMBL130098,3HS4,-6.8
CHEMBL130098,2P16,-7.1
CHEMBL130098,1UDT,-7.9
CHEMBL130098,1OYT,-0.0
CHEMBL130098,3BQD,-7.6
CHEMBL335033,2ITY,-8.0
CHEMBL335033,1H00,-9.2
CHEMBL335033,1HSG,-7.4
CHEMBL335033,4EY7,-11.3
CHEMBL335033,3ERT,-7.9
CHEMBL335033,3HS4,-8.1
CHEMBL335033,2P16,-9.2
CHEMBL335033,1UDT,-9.6
CHEMBL335033,1OYT,0.0
CHEMBL335033,3BQD,-9.4
CHEMBL130666,2ITY,-7.4
CHEMBL130666,1H00,-7.9
CHEMBL130666,1HSG,-6.7
CHEMBL130666,4EY7,-9.0
CHEMBL130666,3ERT,-7.8
CHEMBL130666,3HS4,-7.7
CHEMBL130666,2P16,-7.8
CHEMBL130666,1UDT,-8.9
CHEMBL130666,1OYT,-0.0
CHEMBL130666,3BQD,-7.1
CHEMBL336524,2ITY,-6.7
CHEMBL336524,1H00,-7.5
CHEMBL336524,1HSG,-6.2
CHEMBL336524,4EY7,-8.9
CHEMBL336524,3ERT,-6.9
CHEMBL336524,3HS4,-7.2
CHEMBL336524,2P16,-7.2
CHEMBL336524,1UDT,-8.0
CHEMBL336524,1OYT,-0.0
CHEMBL336524,3BQD,-7.3
CHEMBL85536,2ITY,-7.8
CHEMBL85536,1H00,-9.7
CHEMBL85536,1HSG,-7.2
CHEMBL85536,4EY7,-11.1
CHEMBL85536,3ERT,-10.6
CHEMBL85536,3HS4,-7.3
CHEMBL85536,2P16,-9.7
CHEMBL85536,1UDT,-10.3
CHEMBL85536,1OYT,-0.0
CHEMBL85536,3BQD,-9.1
CHEMBL267385,2ITY,-10.1
CHEMBL267385,1H00,-9.7
CHEMBL267385,1HSG,-8.2
CHEMBL267385,4EY7,-10.7
CHEMBL267385,3ERT,-11.1
CHEMBL267385,3HS4,-8.8
CHEMBL267385,2P16,-10.0
CHEMBL267385,1UDT,-12.9
CHEMBL267385,1OYT,-0.0
CHEMBL267385,3BQD,-6.1
CHEMBL25228,2ITY,-9.0
CHEMBL25228,1H00,-10.6
CHEMBL25228,1HSG,-8.5
CHEMBL25228,4EY7,-11.0
CHEMBL25228,3ERT,-10.0
CHEMBL25228,3HS4,-10.0
CHEMBL25228,2P16,-8.8
CHEMBL25228,1UDT,-10.7
CHEMBL25228,1OYT,-0.0
CHEMBL25228,3BQD,-7.4
CHEMBL313941,2ITY,-8.7
CHEMBL313941,1H00,-9.9
CHEMBL313941,1HSG,-7.9
CHEMBL313941,4EY7,-10.5
CHEMBL313941,3ERT,-9.8
