CHEMBL555186,CC(C)CNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl
CHEMBL555186,CC(C)CNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl
CHEMBL144322,NS(=O)(=O)c1ccc(N/C(S)=N\CCCC(=O)O)cc1
CHEMBL262726,COc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL6724,Nc1ccc(S(N)(=O)=O)cc1Br
CHEMBL357388,NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O)cc1
CHEMBL3143261,NS(=O)(=O)c1ccc(NC(=S)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)cc1
CHEMBL269122,Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL357475,NCCCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL557231,Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccccc2CNCc2ccccn2)cs1
CHEMBL333747,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1
CHEMBL144352,NS(=O)(=O)c1ccc(N/C(S)=N/CCC(=O)NC(Cc2c[nH]cn2)C(=O)O)cc1
CHEMBL341530,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)cs1
CHEMBL341530,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)cs1
CHEMBL539558,CCCCNCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
CHEMBL146887,CC(C)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL538536,CCN(CC)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL538536,CCN(CC)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL555355,Cl.NS(=O)(=O)c1cc(C(=O)c2cccc(CN3CCOCC3)c2)cs1
CHEMBL555355,Cl.NS(=O)(=O)c1cc(C(=O)c2cccc(CN3CCOCC3)c2)cs1
CHEMBL543415,CC(C)CNCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl
CHEMBL543415,CC(C)CNCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl
CHEMBL541597,CC(C)(C)NCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl
CHEMBL7146,Nc1ccc(S(=O)(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
CHEMBL545756,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CN3CCOCC3)cc2)cs1
CHEMBL545756,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CN3CCOCC3)cc2)cs1
CHEMBL541856,CC(C)CNCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1.Cl
CHEMBL144383,NS(=O)(=O)c1ccc(N/C(S)=N/C(C(=O)O)c2ccccc2)cc1
CHEMBL144716,NS(=O)(=O)c1ccc(N/C(S)=N/C(CS)C(=O)O)cc1
CHEMBL143992,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)c(O)c2)C(=O)O)cc1
CHEMBL540835,Cl.NS(=O)(=O)c1cc(C(=O)c2ccc(CNCc3ccccc3)cc2)cs1
CHEMBL542219,CCN(CC)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL542219,CCN(CC)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL541080,CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl
CHEMBL123979,COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1
CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1
CHEMBL266026,Nc1ccc(S(=O)(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL125102,NS(=O)(=O)c1cc(C(=O)c2ccc(O)cc2)cs1
CHEMBL341037,Cc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL555588,CC(C)CNCc1ccccc1S(=O)(=O)c1csc(S(N)(=O)=O)c1.Cl
CHEMBL555588,CC(C)CNCc1ccccc1S(=O)(=O)c1csc(S(N)(=O)=O)c1.Cl
CHEMBL144818,NS(=O)(=O)c1ccc(N=C=S)cc1
CHEMBL545527,CCN(CC)Cc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1O.Cl
CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1
CHEMBL6705,Nc1ccccc1S(N)(=O)=O
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
CHEMBL344757,N=C(N)NCCCC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL413114,COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL333588,Cc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL144946,NS(=O)(=O)c1ccc(N/C(S)=N/C(C(=O)O)C(O)c2ccccc2)cc1
